Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (VND),Competitive Density,SERP Features
cách chơi y bneth,,20,"0.43,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.57,0.14,0.14",,0.00,0.00,
cách chơi y8,,20,"0.20,0.60,0.40,0.80,0.20,0.20,0.20,0.20,0.20,0.20,0.40,1.00",,0.00,0.00,
cách chơi yandere school,,20,"0.20,0.80,0.20,0.20,0.20,0.20,0.40,1.00,0.40,0.00,1.00,0.20",,0.00,0.00,
cách chơi yandere simulator,,20,"0.20,1.00,0.40,0.20,0.80,0.40,0.20,0.20,0.20,0.20,0.20,0.80",,0.00,0.00,
cách chơi yandere simulator trên máy tính,,20,"0.20,0.20,0.20,1.00,0.40,0.20,0.40,0.40,0.20,0.20,0.60,0.20",,0.00,0.01,
cách chơi yandere simulator trên điện thoại,,20,"0.40,1.00,0.60,0.20,0.40,0.20,0.20,0.20,0.40,0.20,0.20,0.40",,0.00,0.00,
cách chơi yasuo cho người mới chơi,,20,"0.40,0.20,1.00,0.20,0.20,0.20,0.60,0.20,0.20,0.20,0.40,0.40",,0.00,0.00,
cách chơi yi rừng,,20,"0.11,0.11,0.11,0.11,0.11,1.00,0.22,0.44,0.11,0.11,0.11,0.44",,0.00,0.00,
cách chơi yi đi rừng,,20,"0.00,0.00,0.14,1.00,0.57,0.00,0.00,0.14,0.29,0.57,0.00,0.00",,0.00,0.00,
cách chơi yong heroes,,20,"0.14,0.14,0.14,0.14,0.14,0.00,0.14,0.14,0.29,0.14,1.00,0.14",,0.00,0.00,
cách chơi yorn liên quân,,20,"0.44,0.11,0.22,0.33,0.11,0.11,0.11,0.11,0.11,1.00,0.33,0.00",,0.00,0.00,
cách chơi yorn trong liên quân,,20,"0.14,0.29,0.14,0.14,0.29,0.14,0.14,1.00,0.14,0.14,0.14,0.14",,0.00,0.00,
cách chơi youtube,,20,"0.20,0.20,0.60,0.20,0.20,0.20,0.40,0.20,0.80,0.20,0.20,1.00",,0.00,0.00,
cách chơi yoyo cơ bản,,20,"0.14,0.71,0.43,0.14,1.00,0.14,0.14,0.14,0.43,0.14,0.14,0.14",,0.00,0.45,
cách chơi yoyo linh thú,,20,"0.33,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.78,0.11,0.11,1.00",,0.00,0.43,
cách chơi yu gi oh power of chaos,,20,"0.14,0.29,0.14,1.00,0.14,0.14,0.00,0.14,0.00,0.29,0.71,0.14",,0.00,0.00,
cách chơi yugi h5,,20,"0.20,0.20,1.00,1.00,0.20,0.20,0.20,0.60,0.20,0.20,0.20,0.20",,0.00,0.00,
cách chơi yugioh power of chaos,,20,"0.11,0.11,0.11,0.56,0.11,0.11,0.00,0.33,0.00,0.11,1.00,0.11",,0.00,0.00,
cách chơi yêu nhầm fa,,20,"0.14,0.14,0.57,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.29,0.14",,0.00,0.10,
cách chơi yển sư,,20,"0.14,0.14,0.29,1.00,0.14,0.43,0.00,0.71,0.14,0.14,0.00,0.14",,0.00,0.00,
cách chơi zed hay,,20,"0.00,0.14,0.57,0.00,0.00,0.00,0.14,1.00,0.14,0.71,0.00,0.00",,0.00,0.00,
cách chơi zill hiệu quả,,20,"1.00,0.00,0.11,0.78,0.00,0.00,0.33,0.11,0.00,0.00,0.11,0.22",,0.00,0.00,
cách chơi zing play,,20,"0.33,0.00,0.11,0.44,0.22,0.11,0.33,0.00,0.11,0.44,1.00,0.00",,0.00,0.00,
cách chơi zingplay trên máy tính,,20,"0.25,0.50,0.50,1.00,0.25,0.50,0.25,0.25,1.00,0.25,0.50,0.25",,0.00,0.00,
cách chơi zip,,20,"0.43,0.14,0.14,0.29,0.14,0.14,0.29,0.29,0.14,0.14,1.00,0.14",,0.00,0.00,
cách chơi zoe,,20,"0.14,1.00,0.14,0.43,0.14,0.57,0.43,0.14,0.14,0.14,0.29,0.14",,0.00,0.00,
cách chơi zombie 2,,20,"0.20,0.80,0.20,0.20,0.20,1.00,0.20,0.20,0.20,0.20,0.40,0.20",,0.00,0.07,
cách chơi zuka hay,,20,"1.00,0.33,0.33,0.33,1.00,0.33,1.00,0.33,0.33,0.33,0.67,0.33",,0.00,0.00,
cách chơi zuka liên quân,,20,"1.00,0.25,0.00,0.25,0.25,0.25,0.25,0.75,1.00,0.50,0.25,0.25",,0.00,0.00,
cách chơi zyra,,20,"0.20,0.60,0.20,0.20,0.20,0.20,0.20,0.80,0.80,0.20,1.00,0.20",,0.00,0.00,
cách chơi âm dương sư,,20,"1.00,0.20,0.40,0.20,0.40,0.20,0.20,0.20,1.00,0.20,0.20,0.80",,0.00,0.00,
cách chơi ô số sudoku,,20,"0.25,0.25,0.25,0.50,0.25,0.50,0.25,0.50,1.00,0.25,0.25,0.25",,5813.95,0.44,
cách chơi ô ăn quan 2 người,,20,"0.20,0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.80",,0.00,0.63,
cách chơi ô ăn quan giỏi,,20,"0.20,0.00,0.20,0.20,0.20,0.20,0.60,0.20,1.00,0.00,0.20,1.00",,0.00,0.00,
cách chơi điêu thuyền trong liên quân,,20,"0.29,0.29,0.14,0.29,1.00,0.14,0.14,0.14,0.14,0.29,0.14,0.14",,0.00,0.00,
cách chơi điệu ballad,,20,"0.11,0.44,0.11,0.33,0.11,0.44,0.22,0.11,1.00,0.11,0.11,0.11",,0.00,0.00,
cách chơi điệu bolero guitar,,20,"0.56,0.22,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.22,0.11,0.11",,0.00,0.00,
cách chơi điệu boston,,20,"0.14,0.14,0.14,0.14,0.14,0.29,0.14,1.00,0.14,0.43,0.14,0.14",,0.00,0.00,
cách chơi điệu chachacha guitar,,20,"0.40,0.40,0.20,0.20,0.60,0.00,0.60,1.00,0.20,0.20,0.20,0.20",,0.00,0.00,
cách chơi điệu valse guitar,,20,"0.11,0.11,0.33,0.56,0.11,0.22,1.00,0.22,0.11,0.11,0.11,0.11",,0.00,0.04,
cách chơi đtcl,,20,"0.25,0.25,1.00,0.25,0.75,0.25,0.75,0.75,0.25,0.25,0.25,0.25",,0.00,0.00,
cách chơi đua thuyền trên cạn,,20,"0.20,0.20,0.20,0.20,0.20,1.00,1.00,0.20,0.20,0.20,0.20,0.40",,0.00,0.00,
cách chơi đuổi hình bắt chữ,,20,"0.20,0.20,0.40,1.00,0.20,0.20,0.60,0.20,0.20,0.20,0.20,0.60",,0.00,0.00,
cách chơi đàn guitar 4 dây,,20,"1.00,1.00,0.33,0.67,0.33,0.67,0.33,0.67,0.33,0.33,0.33,0.33",,0.00,0.05,
cách chơi đàn guitar 6 dây,,20,"0.14,0.14,0.43,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14",,0.00,0.21,
cách chơi đàn guitar acoustic,,20,"0.29,0.14,1.00,0.43,0.14,0.14,0.00,0.14,0.57,0.14,0.29,0.14",,0.00,0.04,
cách chơi đàn guitar cơ bản,,20,"0.40,1.00,0.40,0.20,0.20,0.20,1.00,0.20,0.20,0.40,0.20,0.40",,0.00,0.22,
cách chơi đàn guitar nhỏ 4 dây,,20,"0.43,0.14,0.14,0.14,0.14,0.14,0.14,0.71,0.57,0.14,0.14,1.00",,0.00,0.29,
cách chơi đàn guitar đơn giản,,20,"0.20,0.20,0.40,0.20,0.80,0.20,0.20,0.20,1.00,0.60,0.20,0.20",,0.00,0.07,
cách chơi đàn guzheng,,20,"0.00,0.14,0.14,0.43,0.14,0.00,1.00,0.14,1.00,0.00,0.29,0.43",,0.00,0.36,
cách chơi đàn piano cho người mới học,,20,"0.11,0.11,0.11,0.33,0.33,0.11,0.11,1.00,0.11,0.11,0.33,0.11",,0.00,0.54,
cách chơi đàn piano trên điện thoại,,20,"0.57,0.14,0.14,0.43,0.14,0.00,1.00,0.29,0.29,0.14,0.14,0.14",,0.00,0.05,
cách chơi đàn trên máy tính,,20,"0.00,0.22,0.11,0.11,0.22,0.00,1.00,0.11,0.11,0.78,0.00,0.56",,0.00,0.00,
cách chơi đàn tỳ bà,,20,"0.25,0.50,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.25,1.00",,0.00,0.11,
cách chơi đàn ukulele đơn giản,,20,"0.11,0.11,0.11,0.11,0.44,0.78,0.11,0.11,0.11,1.00,0.00,0.11",,0.00,0.25,
cách chơi đàn violin,,20,"0.40,0.20,0.40,1.00,0.20,0.20,0.20,0.20,0.40,0.20,0.20,0.20",,0.00,0.15,
cách chơi đá gà,,20,"0.14,0.29,0.14,0.14,0.29,1.00,0.14,0.14,0.14,0.14,0.57,0.14",,0.00,0.00,
cách chơi đá gà mạng,,20,"0.80,1.00,0.20,0.20,0.40,0.40,0.20,0.20,0.40,0.60,0.20,0.20",,0.00,0.06,
cách chơi đá gà ăn tiền,,20,"0.20,1.00,0.20,0.20,0.20,0.20,0.60,0.20,0.60,0.20,0.20,0.20",,0.00,0.00,
cách chơi đá phong thủy,,20,"0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.29,0.14,0.14,0.14",,0.00,1.00,
cách chơi đánh bài câu cá,,20,"0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.60,0.20,0.80",,0.00,0.00,
cách chơi đánh cầu lông,,20,"0.56,0.11,0.11,0.33,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11",,0.00,0.00,
cách chơi đánh golf,,20,"0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.22,0.11,0.11,0.11",,0.00,1.00,
cách chơi đánh đề,,20,"0.14,0.14,0.14,0.14,0.43,0.14,0.14,0.14,0.29,1.00,0.29,0.14",,0.00,0.00,
cách chơi đĩ,,20,"0.14,1.00,0.14,0.29,0.14,0.14,0.29,0.14,0.14,0.14,0.14,0.29",,0.00,0.00,
cách chơi đường môn vl2,,20,"0.33,0.33,1.00,0.33,0.33,0.33,1.00,0.00,0.33,0.33,1.00,1.00",,0.00,0.00,
cách chơi đường môn vltk mobile,,20,"1.00,0.11,0.11,0.11,0.22,0.11,0.22,0.11,0.11,0.22,0.22,0.33",,0.00,0.01,
cách chơi đường môn võ lâm 1,,20,"0.00,1.00,0.43,0.43,0.43,0.14,0.00,0.00,0.00,0.14,0.14,0.14",,0.00,0.00,
cách chơi được minecraft,,20,"0.20,0.20,0.40,0.00,0.20,0.40,0.20,1.00,0.20,0.60,0.20,0.20",,0.00,0.00,
cách chơi đại ca ra tù,,20,"0.20,0.20,0.60,0.60,0.20,0.60,0.80,0.40,0.00,0.40,0.40,1.00",,0.00,0.00,
cách chơi đảo thiên đường,,20,"0.14,0.14,0.00,0.00,1.00,0.00,0.29,0.00,0.57,0.00,0.57,0.00",,0.00,0.00,
cách chơi đấu giá ngược,,20,"1.00,0.40,0.60,0.60,0.20,0.20,0.00,0.40,0.80,0.00,0.00,0.20",,0.00,0.00,
cách chơi đấu móc liên quân,,20,"0.20,0.80,0.40,0.40,0.60,0.20,1.00,0.60,0.60,0.20,0.40,0.20",,0.00,0.00,
cách chơi đấu sĩ,,20,"0.20,0.00,0.20,0.20,0.20,0.80,0.80,0.20,0.20,1.00,0.20,0.20",,0.00,0.00,
cách chơi đấu trường chân lý lol,,20,"0.14,0.14,0.14,1.00,0.14,0.14,0.00,0.14,1.00,0.14,0.14,0.29",,0.00,0.00,
cách chơi đấu trường thú 2,,20,"0.71,0.14,0.14,0.43,0.14,0.14,0.14,0.29,1.00,0.14,0.71,0.14",,0.00,0.00,
cách chơi đấu trường thú 2 người,,20,"0.29,0.14,0.14,0.29,0.14,0.71,1.00,0.29,0.57,0.29,0.14,0.14",,0.00,0.00,
cách chơi đấu trường thú 2 người trên máy tính,,20,"0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,1.00,0.14,0.14",,0.00,0.00,
cách chơi đấu trường thú online,,20,"0.60,0.20,0.20,0.40,0.20,0.40,1.00,0.20,0.20,0.40,0.20,0.20",,0.00,0.05,
cách chơi đấu trường thú trên máy tính,,20,"0.20,0.20,0.80,0.20,0.20,0.20,0.20,0.20,0.60,0.20,1.00,0.20",,0.00,0.00,
cách chơi đấu trường thú trên điện thoại,,20,"0.20,0.20,0.20,0.20,0.40,0.20,0.80,0.60,0.20,1.00,0.20,0.20",,0.00,0.00,
cách chơi đầu đuôi miền bắc,,20,"0.29,1.00,0.14,0.57,0.14,0.71,0.14,0.14,0.14,0.14,0.43,0.14",,0.00,0.00,
cách chơi đầu đuôi seri tiền,,20,"0.22,0.11,0.11,0.22,0.11,0.22,1.00,0.44,0.22,0.11,0.11,0.11",,0.00,0.00,
cách chơi đế chế 1,,20,"0.11,1.00,0.11,0.11,0.11,0.22,0.33,0.11,0.22,0.11,0.11,0.11",,0.00,0.00,
cách chơi đế chế 2,,20,"0.11,0.11,1.00,0.11,0.11,0.22,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,0.00,
cách chơi đế chế 2 online,,20,"1.00,0.60,0.40,0.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20",,0.00,0.01,
cách chơi đế chế lên đời nhanh,,20,"0.20,0.20,0.20,0.40,0.20,0.40,0.20,0.20,0.20,0.20,0.80,1.00",,0.00,0.00,
cách chơi đế chế lên đời nhanh nhất,,20,"0.00,0.00,0.44,0.00,0.00,0.00,1.00,0.00,0.11,0.44,0.11,0.00",,0.00,0.00,
cách chơi đế chế mạng lan,,20,"0.20,0.60,1.00,0.40,0.20,0.20,0.20,1.00,0.20,0.20,0.20,0.20",,0.00,0.00,
cách chơi đế chế offline,,20,"0.14,0.57,0.29,0.57,0.29,0.29,0.14,1.00,0.14,0.14,0.00,0.29",,0.00,0.06,
cách chơi đế chế online trên garena plus,,20,"0.33,0.33,0.33,0.67,0.33,1.00,0.33,1.00,0.33,1.00,0.33,0.33",,0.00,0.00,
cách chơi đế chế qua mạng lan,,20,"0.25,0.25,0.25,0.25,0.75,0.25,1.00,0.75,0.25,0.50,0.50,0.50",,0.00,0.00,
cách chơi đế chế trên garena,,20,"1.00,0.40,0.20,0.20,0.20,0.20,0.20,0.20,0.60,0.20,0.20,0.20",,0.00,0.00,
cách chơi đế chế với máy,,20,"0.20,0.20,0.20,0.20,0.00,0.20,0.20,0.20,0.80,1.00,0.20,0.20",,0.00,0.00,
cách chơi đế chế xanh,,20,"0.00,1.00,0.00,0.71,0.14,0.00,0.43,0.14,0.14,0.14,0.00,0.43",,0.00,0.00,
cách chơi đếm số từ 1 đến 30,,20,"0.14,0.71,1.00,0.14,0.14,0.14,0.14,0.29,0.14,0.29,0.29,0.14",,0.00,0.00,
cách chơi đếm số đến 30,,20,"0.25,0.25,0.50,0.25,0.25,0.25,0.25,1.00,1.00,0.25,0.50,0.50",,0.00,0.00,
cách chơi đề dễ trúng,,20,"1.00,0.14,0.14,0.14,0.57,0.14,0.14,0.14,0.43,0.14,0.29,0.14",,0.00,0.00,
cách chơi đề giải 7,,20,"0.22,0.11,1.00,0.11,0.11,0.11,0.33,0.44,0.11,0.22,0.22,0.11",,0.00,0.00,
cách chơi đề miền trung,,20,"0.14,0.14,0.14,0.43,0.14,0.14,0.43,0.71,0.29,0.14,0.29,1.00",,0.00,0.00,
cách chơi đỉ lâu ra,,20,"0.00,1.00,0.00,0.56,0.22,0.22,0.00,0.22,0.44,0.11,0.11,0.11",,0.00,0.86,
cách chơi đồng hồ cổ,,20,"0.80,0.20,0.40,0.20,1.00,0.20,0.60,0.20,0.20,0.00,0.00,0.00",,0.00,0.00,
cách chơi đồng xu,,20,"0.00,0.25,0.25,0.25,1.00,1.00,0.25,0.00,0.50,1.00,0.75,0.50",,0.00,0.00,
cách chơi đổ nước vào chai,,20,"0.11,0.11,0.11,0.11,0.11,0.22,0.11,0.11,0.11,0.11,1.00,0.00",,0.00,0.00,
cách chơi đội hình phù thủy,,20,"0.36,0.00,0.09,0.09,1.00,0.09,0.09,0.09,0.09,0.00,0.00,0.09",,0.00,0.00,
cách chơi đội hình đấu trường chân lý,,20,"0.20,1.00,0.60,0.20,0.20,0.20,0.60,0.80,0.20,0.20,0.20,0.20",,0.00,0.00,
cách chơi đột kích trên laptop,,20,"0.40,0.00,0.00,0.60,0.00,0.80,0.80,0.00,0.00,0.20,0.00,1.00",,0.00,0.00,
cách chơi đột kích trên máy tính,,20,"1.00,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.50,1.00,0.50",,0.00,0.00,
cách chơi ảo thuật,,20,"0.25,0.00,0.25,0.25,1.00,0.50,0.25,0.75,0.25,0.25,0.50,0.25",,0.00,0.06,
cách chặn chơi game trên máy tính,,20,"0.20,0.60,1.00,0.20,0.20,1.00,0.20,0.40,0.00,0.20,0.20,0.20",,0.00,0.00,
cách chế bật lửa chơi đá,,20,"0.14,0.14,0.29,0.14,0.29,0.14,0.14,0.14,1.00,0.14,0.14,0.14",,0.00,0.00,
cách chế tạo máy bay đồ chơi,,20,"0.00,0.11,1.00,0.00,0.00,0.11,0.00,0.00,0.11,0.56,0.11,0.33",,0.00,0.00,
cách chế tạo đồ chơi bằng giấy,,20,"0.29,0.14,0.29,0.14,0.14,0.43,0.14,1.00,0.14,0.14,0.14,0.14",,0.00,0.00,
cách chỉnh card nvidia để chơi game,,20,"0.20,0.80,0.80,1.00,0.20,0.20,0.60,0.20,0.20,1.00,0.40,0.20",,0.00,0.00,
cách chỉnh full màn hình chơi game win 10,,20,"0.60,0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.40,0.20,0.20,0.40",,0.00,0.00,
cách chỉnh nvidia control panel để chơi game,,20,"0.25,0.50,0.25,0.50,1.00,0.25,0.25,0.25,0.25,0.25,0.25,0.75",,0.00,0.00,
cách chỉnh tai nghe chơi pubg,,20,"0.20,0.20,0.20,0.00,1.00,0.40,1.00,0.40,0.00,0.00,0.20,0.00",,0.00,0.00,
cách chọn bạn mà chơi,,20,"0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.29,0.14,0.43,0.14",,0.00,0.00,
cách chọn giày patin cho người mới chơi,,20,"1.00,0.14,0.14,0.14,0.14,0.57,0.71,0.14,0.29,0.29,0.14,0.14",,0.00,1.00,
cách chọn màn hình chơi game,,20,"0.29,0.71,0.43,1.00,0.00,0.14,0.14,0.29,0.14,0.00,0.00,0.29",,0.00,0.50,
cách chọn vợt cầu lông cho người mới chơi,,20,"0.22,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11",,264.27,0.89,
cách chọn vợt tennis cho người mới chơi,,20,"0.40,0.20,0.20,0.60,0.80,0.20,0.20,0.20,0.20,1.00,0.60,0.60",,0.00,0.75,
cách chọn đàn guitar acoustic cho người mới chơi,,20,"0.20,0.20,0.20,0.40,0.40,0.20,0.60,0.60,0.40,0.20,0.20,1.00",,2114.16,0.94,
cách chống lag khi chơi game,,20,"0.25,0.75,0.75,0.25,0.25,0.25,0.50,0.25,0.25,0.25,1.00,0.25",,528.54,0.29,
cách chụp màn hình khi đang chơi game,,20,"0.14,0.14,0.14,0.00,0.14,0.14,0.00,0.29,0.29,1.00,0.71,0.14",,0.00,0.71,
cách chụp màn hình máy tính khi đang chơi game,,20,"1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.60,1.00,0.20,0.20,0.20",,0.00,0.07,
cách chữa đau khớp gối khi chơi thể thao,,20,"0.29,0.71,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.29,0.71,0.14",,1321.35,1.00,
cách cài trò chơi,,20,"0.14,0.14,0.29,0.14,0.14,0.14,1.00,0.14,0.71,0.71,0.14,0.00",,0.00,0.00,
cách cài trò chơi trên máy tính,,20,"0.29,0.14,0.14,0.14,0.14,0.14,0.29,0.14,0.14,1.00,0.29,1.00",,0.00,0.11,
cách cài đặt card màn hình để chơi liên minh,,20,"0.60,0.00,0.00,0.40,0.40,0.20,0.20,1.00,0.60,0.20,0.60,0.20",,0.00,0.00,
cách cài đặt chơi liên quân trên máy tính,,20,"0.00,0.00,0.00,0.78,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.56",,0.00,0.29,
cách cài đặt flash để chơi game,,20,"0.14,0.14,0.14,0.00,0.00,0.00,0.29,0.71,1.00,0.29,0.14,0.00",,0.00,0.00,
cách cầm điện thoại chơi game,,20,"0.40,0.40,1.00,0.20,0.20,0.20,0.20,0.20,0.40,0.20,0.20,0.20",,0.00,0.05,
cách dùng điện thoại làm tay cầm chơi game,,20,"0.20,0.40,0.60,0.20,1.00,0.20,0.20,0.20,0.40,0.40,0.20,0.60",,0.00,0.19,
cách dùng đồ chơi tình dục cho nữ,,20,"0.14,0.00,0.14,0.14,0.14,0.57,0.00,0.14,1.00,0.29,0.00,0.14",,0.00,0.00,
cách dạy chơi cờ tướng,,20,"0.14,0.57,0.43,0.14,0.29,0.14,1.00,0.29,0.14,0.29,0.14,0.14",,0.00,0.16,
cách dạy chơi cờ vua,,20,"0.14,0.14,0.29,0.14,1.00,0.14,0.14,0.43,0.14,1.00,0.14,0.14",,0.00,0.16,
cách dạy chơi rubik,,20,"0.14,0.14,0.57,0.00,0.14,1.00,0.14,0.00,0.29,0.14,0.14,0.43",,0.00,0.40,
cách dạy trẻ chơi cờ vua,,20,"0.14,0.14,0.29,0.14,0.29,0.14,0.14,1.00,0.14,0.14,0.57,0.14",,0.00,0.50,
cách dạy trẻ em chơi cờ vua,,20,"0.57,1.00,0.14,0.29,0.14,1.00,0.14,0.14,0.14,0.00,0.14,0.43",,0.00,0.38,
cách dẫn chương trình trò chơi,,20,"1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,0.05,
cách fake ip để chơi game,,20,"0.33,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.11,0.11",,0.00,0.25,
cách ghép bưởi chơi tết,,20,"0.29,0.43,0.14,0.29,0.14,0.29,0.14,1.00,0.29,0.14,0.14,0.14",,0.00,0.04,
cách ghép lan hồ điệp vào chậu chơi tết,,20,"0.00,0.00,0.80,0.20,1.00,0.20,0.40,0.40,0.20,0.00,0.20,0.40",,0.00,0.00,
cách ghép quả bưởi chơi tết,,20,"0.14,0.14,0.14,1.00,0.14,0.14,0.71,0.14,0.14,0.14,0.14,0.00",,0.00,0.00,
cách giả lập android trên pc để chơi game,,20,"0.29,0.14,0.14,1.00,0.29,0.14,0.14,0.14,0.14,0.14,0.14,0.71",,0.00,0.14,
cách giải rubik 2x2 cho người mới chơi,,20,"0.14,0.14,1.00,0.14,0.43,0.14,0.14,0.14,0.14,0.14,0.14,0.43",,0.00,0.10,
cách giải rubik 3 nhân 3 cho người mới chơi,,20,"0.20,0.20,0.40,0.20,0.20,0.80,0.20,0.00,1.00,0.20,0.40,0.20",,0.00,0.00,
cách giải rubik 3x3 cho người mới chơi,,20,"0.11,0.11,0.44,1.00,0.11,0.11,0.11,0.11,0.22,0.22,0.22,0.33",,0.00,0.13,
cách giải trò chơi,,20,"0.67,0.33,0.67,0.33,0.33,0.33,0.33,0.67,0.67,0.33,1.00,0.33",,0.00,0.00,
cách giải trò chơi brain out,,20,"0.33,0.67,0.67,0.33,1.00,0.33,0.33,1.00,0.33,0.33,0.33,1.00",,0.00,0.00,
cách giảm giật lag khi chơi liên minh,,20,"0.29,0.14,0.14,0.14,0.14,0.43,0.14,0.14,0.14,0.14,0.14,1.00",,0.00,0.02,
cách giảm giật lag khi chơi liên quân,,20,"0.50,0.25,1.00,0.25,0.25,1.00,0.25,0.25,0.25,0.25,0.25,0.25",,0.00,0.03,
cách giảm lag khi chơi fifa,,20,"0.33,0.67,1.00,0.33,0.67,0.33,0.00,1.00,1.00,0.33,0.33,0.00",,0.00,0.00,
cách giảm lag khi chơi game nặng,,20,"0.11,0.00,0.11,0.33,0.11,0.00,0.00,0.56,0.00,1.00,0.78,0.00",,0.00,0.00,
cách giảm lag khi chơi game roblox,,20,"0.20,0.20,0.20,0.60,1.00,0.80,0.20,0.40,0.20,0.20,0.20,0.20",,0.00,0.08,
cách giảm lag khi chơi game trên laptop,,20,"0.14,1.00,0.14,0.14,0.14,0.29,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,0.07,
cách giảm lag khi chơi game win 10,,20,"0.14,0.00,0.14,0.14,0.14,0.00,0.14,0.43,0.14,1.00,0.14,0.43",,0.00,0.00,
cách giảm lag khi chơi liên quân mobile,,20,"0.40,0.60,1.00,0.00,0.20,0.20,0.60,0.00,0.20,0.20,0.00,0.20",,0.00,0.21,
cách giảm lag khi chơi minecraft,,20,"0.75,0.50,0.25,0.25,0.75,0.25,1.00,0.75,0.25,0.25,0.25,0.25",,0.00,0.00,
cách giảm lag khi chơi minecraft pixelmon,,20,"0.22,0.00,0.00,0.22,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,0.00,
cách giảm nhiệt độ laptop khi chơi game,,20,"0.20,1.00,0.60,0.20,0.40,0.20,0.40,0.20,0.20,0.20,0.20,0.40",,0.00,0.52,
cách giảm ping chơi game nước ngoài,,20,"0.57,0.14,0.00,0.14,0.14,1.00,0.14,0.14,0.00,1.00,0.14,0.14",,0.00,0.00,
cách giảm ping khi chơi game nước ngoài,,20,"0.20,0.20,0.20,0.40,0.20,0.40,1.00,0.20,0.20,0.20,0.20,0.20",,3964.06,0.34,
cách giảm ping khi chơi game trên điện thoại,,20,"0.20,0.20,1.00,0.40,0.40,0.40,0.20,0.20,0.20,0.20,0.80,0.20",,1057.08,0.26,
cách giảm ping khi chơi game ở nước ngoài,,20,"0.80,1.00,0.20,0.20,0.20,0.20,1.00,0.20,0.40,0.20,0.20,1.00",,4492.60,0.26,
cách giảm ping khi chơi liên minh,,20,"0.20,0.40,0.20,0.20,0.20,0.20,0.40,0.00,0.20,1.00,1.00,0.00",,0.00,0.00,
cách giảm ping khi chơi lol,,20,"0.60,0.20,0.20,0.20,0.20,0.20,0.40,0.00,0.40,1.00,0.40,0.20",,0.00,0.19,
cách giảm đau cơ khi chơi thể thao,,20,"0.25,0.25,1.00,0.50,0.25,0.25,0.25,0.25,0.50,1.00,0.75,0.25",,0.00,0.19,
cách giảm đau tay khi chơi guitar,,20,"0.29,0.14,0.14,0.14,0.14,0.14,0.57,0.14,0.29,1.00,0.14,0.57",,0.00,0.70,
cách giảm đau đầu gối khi chơi thể thao,,20,"0.11,0.11,0.11,0.44,0.11,0.22,0.11,0.11,1.00,0.11,0.11,0.56",,1321.35,0.92,
cách giới thiệu đội chơi ấn tượng,,20,"1.00,0.11,0.11,0.11,0.11,0.11,0.56,0.56,0.11,0.11,0.00,0.00",,0.00,0.00,
cách gấp đồ chơi bằng giấy origami,,20,"0.20,0.60,0.80,0.20,0.60,0.20,0.20,0.20,0.80,1.00,0.20,0.20",,0.00,0.02,
cách gấp đồ chơi bằng giấy đơn giản,,20,"0.33,0.11,0.22,0.22,0.11,0.11,0.11,0.44,1.00,0.11,0.22,0.11",,0.00,0.13,
cách gỡ trò chơi trên facebook,,20,"0.80,0.60,0.20,0.00,0.20,0.20,0.20,0.60,0.20,0.60,1.00,0.60",,0.00,0.00,
cách hack trò chơi candy crush saga,,20,"0.11,1.00,0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11",,0.00,0.02,
cách hack trò chơi con rắn,,20,"0.11,0.11,0.22,0.11,1.00,0.11,0.11,0.22,0.11,0.11,0.11,0.22",,0.00,0.00,
cách hack trò chơi cá mập,,20,"0.43,0.14,0.57,0.14,0.43,0.14,0.14,0.14,1.00,0.14,0.14,0.14",,0.00,0.00,
cách hack trò chơi rắn,,20,"0.40,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.40,0.20,0.20,0.20",,0.00,0.00,
